assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
147626663,147626661,Albizia odoratissima,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Albizia,odoratissima,,,,(L.f.) Benth.,Least Concern,,3.1,Stable,Global
147626911,147626909,Mallotus paniculatus,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,EUPHORBIACEAE,Mallotus,paniculatus,,,,(Lam.) Müll.Arg.,Least Concern,,3.1,Stable,Global
147627056,147627054,Macaranga indica,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,EUPHORBIACEAE,Macaranga,indica,,,,Wight,Least Concern,,3.1,Stable,Global
147627314,138238946,Castanopsis argyrophylla,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,FAGACEAE,Castanopsis,argyrophylla,,,,King ex Hook.f.,Least Concern,,3.1,Stable,Global
147627403,147507635,Rhamnus napalensis,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,RHAMNACEAE,Rhamnus,napalensis,,,,(Wall.) M.A.Lawson,Least Concern,,3.1,Stable,Global
147627498,147371036,Casearia glomerata,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,SALICACEAE,Casearia,glomerata,,,,Roxb.,Least Concern,,3.1,Stable,Global
147627800,147627798,Tarenna attenuata,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,RUBIACEAE,Tarenna,attenuata,,,,(Hook.f.) Hutch.,Least Concern,,3.1,Stable,Global
147627891,147627889,Harpullia cupanioides,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,SAPINDACEAE,Harpullia,cupanioides,,,,Roxb.,Least Concern,,3.1,Stable,Global
147628024,147628022,Lindera communis,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Lindera,communis,,,,Hemsl.,Least Concern,,3.1,Stable,Global
147628185,147480332,Maesa montana,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,PRIMULACEAE,Maesa,montana,,,,A.DC.,Least Concern,,3.1,Stable,Global
